# x y z nx ny nz
4.252000 2.189000 -0.676000 0.161587 -0.629942 -0.759646
4.286000 2.195000 -0.674000 0.153779 -0.603159 -0.782657
4.332000 2.206000 -0.673000 0.136479 -0.510416 -0.849028
4.371000 2.214000 -0.672000 0.109869 -0.399338 -0.910197
4.422000 2.228000 -0.672000 0.139471 -0.552379 -0.821843
4.476000 2.242000 -0.673000 0.167624 -0.685442 -0.708570
4.522000 2.252000 -0.672000 0.126783 -0.497378 -0.858220
4.573000 2.265000 -0.672000 0.142774 -0.578593 -0.803023
4.624000 2.277000 -0.672000 0.000000 0.000000 -1.000000
4.679000 2.290000 -0.672000 -0.200166 0.846856 0.492716
4.728000 2.301000 -0.671000 -0.200166 0.846856 0.492716
4.783000 2.314000 -0.671000 0.000000 -0.000000 -1.000000
4.839000 2.327000 -0.671000 0.000000 -0.000000 -1.000000
4.896000 2.340000 -0.671000 0.000000 -0.000000 -1.000000
4.950000 2.351000 -0.671000 -0.172614 0.847378 0.502150
5.002000 2.361000 -0.670000 -0.118359 0.687149 -0.716811
5.054000 2.371000 -0.669000 0.078810 -0.315241 -0.945734
5.110000 2.382000 -0.668000 0.029348 -0.058697 -0.997844
5.164000 2.392000 -0.667000 0.125459 -0.598343 -0.791357
5.226000 2.405000 -0.667000 -0.000000 0.000000 -1.000000
5.289000 2.418000 -0.667000 -0.000000 0.000000 -1.000000
5.354000 2.432000 -0.667000 0.086287 -0.400617 -0.912174
5.403000 2.438000 -0.665000 0.069130 -0.241955 -0.967822
5.459000 2.446000 -0.663000 0.061314 -0.183942 -0.981023
5.509000 2.452000 -0.661000 0.089087 -0.445435 -0.890871
5.569000 2.462000 -0.660000 0.033150 -0.099449 -0.994490
5.632000 2.473000 -0.659000 0.015871 -0.000000 -0.999874
5.695000 2.483000 -0.658000 0.074789 -0.378931 -0.922398
5.771000 2.498000 -0.658000 -0.000000 0.000000 -1.000000
5.842000 2.511000 -0.658000 -0.000000 0.000000 -1.000000
5.914000 2.524000 -0.658000 0.080263 -0.444535 -0.892158
5.975000 2.531000 -0.656000 0.081933 -0.461625 -0.883283
6.060000 2.548000 -0.657000 0.094998 -0.524753 -0.845937
6.122000 2.556000 -0.655000 0.094386 -0.519122 -0.849473
6.197000 2.568000 -0.654000 -0.147165 0.944306 -0.294329
6.274000 2.580000 -0.654000 -0.136276 0.874436 -0.465609
6.354000 2.593000 -0.653000 -0.115076 0.757587 -0.642510
6.433000 2.605000 -0.653000 -0.148511 0.977696 -0.148511
6.511000 2.617000 -0.652000 0.068387 -0.385060 -0.920354
6.581000 2.624000 -0.650000 -0.064920 0.385293 0.920508
6.559000 2.594000 -0.639000 0.065557 -0.379386 -0.922913
6.557000 2.573000 -0.630000 0.065360 -0.379864 -0.922730
6.559000 2.553000 -0.622000 0.064730 -0.378269 -0.923430
6.551000 2.529000 -0.613000 0.044156 -0.375755 -0.925667
6.564000 2.514000 -0.606000 0.032534 -0.375217 -0.926366
6.555000 2.489000 -0.596000 0.060350 -0.371082 -0.926637
6.565000 2.472000 -0.589000 0.047986 -0.369339 -0.928055
6.559000 2.449000 -0.580000 0.047897 -0.364584 -0.929938
6.568000 2.432000 -0.573000 0.021716 -0.361064 -0.932288
6.550000 2.404000 -0.563000 0.034371 -0.358133 -0.933038
6.567000 2.390000 -0.557000 0.027842 -0.357139 -0.933636
6.564000 2.367000 -0.549000 0.036404 -0.354821 -0.934225
6.565000 2.347000 -0.541000 0.035823 -0.354031 -0.934547
6.568000 2.327000 -0.533000 0.033180 -0.354713 -0.934386
7.173000 2.518000 -0.574000 0.000000 0.000000 1.000000
7.711000 2.683000 -0.608000 0.000000 0.000000 1.000000
7.317000 2.522000 -0.568000 0.000000 0.000000 1.000000
7.336000 2.505000 -0.561000 0.000000 0.000000 1.000000
6.645000 2.248000 -0.501000 0.000000 0.000000 1.000000
6.630000 2.221000 -0.492000 0.050803 -0.341108 -0.938650
6.563000 2.178000 -0.480000 0.035612 -0.322841 -0.945783
7.658000 2.517000 -0.552000 0.000000 0.000000 1.000000
7.682000 2.500000 -0.545000 0.000000 0.000000 1.000000
6.577000 2.119000 -0.459000 0.037545 -0.316677 -0.947790
6.602000 2.106000 -0.454000 0.037545 -0.316677 -0.947790
7.320000 2.311000 -0.495000 0.000000 0.000000 1.000000
6.618000 2.068000 -0.441000 0.030277 -0.313033 -0.949260
6.555000 2.028000 -0.430000 0.030277 -0.313033 -0.949260
6.564000 2.009000 -0.423000 0.043043 -0.327370 -0.943916
5.804000 1.758000 -0.368000 -0.083388 -0.328559 -0.940795
5.813000 1.742000 -0.363000 -0.081106 -0.327590 -0.941332
5.815000 1.724000 -0.357000 -0.081106 -0.327590 -0.941332
5.819000 1.706000 -0.351000 0.026419 -0.296092 -0.954794
5.832000 1.691000 -0.347000 0.026419 -0.296092 -0.954794
5.835000 1.673000 -0.341000 0.026419 -0.296092 -0.954794
5.838000 1.655000 -0.335000 0.026892 -0.296133 -0.954768
5.901000 1.654000 -0.333000 0.029046 -0.285119 -0.958052
5.934000 1.644000 -0.329000 0.030731 -0.268906 -0.962676
5.960000 1.632000 -0.325000 0.031141 -0.273403 -0.961395
5.960000 1.613000 -0.319000 0.031141 -0.273403 -0.961395
5.961000 1.594000 -0.314000 0.031698 -0.272835 -0.961539
5.962000 1.575000 -0.309000 0.033822 -0.271093 -0.961959
5.953000 1.553000 -0.303000 0.033625 -0.271059 -0.961975
5.960000 1.536000 -0.297000 0.028485 -0.270309 -0.962352
5.959000 1.516000 -0.292000 0.006467 -0.268923 -0.963140
5.960000 1.497000 -0.287000 0.008189 -0.268754 -0.963174
5.956000 1.477000 -0.281000 0.114994 -0.259611 -0.958842
5.957000 1.458000 -0.276000 0.111332 -0.258607 -0.959545
5.961000 1.440000 -0.271000 0.035590 -0.257261 -0.965686
5.962000 1.421000 -0.266000 0.023490 -0.256664 -0.966215
5.956000 1.400000 -0.261000 0.993400 -0.000628 -0.114702
5.955000 1.381000 -0.256000 0.993715 0.011348 -0.111367
5.959000 1.363000 -0.251000 0.992700 0.008098 -0.120335
5.960000 1.344000 -0.246000 0.993169 0.009620 -0.116285
5.962000 1.325000 -0.241000 0.991325 0.014289 -0.130654
5.965000 1.306000 -0.236000 0.989562 0.021235 -0.142535
5.965000 1.287000 -0.231000 0.991171 0.027340 -0.129739
5.963000 1.267000 -0.227000 0.991127 0.028468 -0.129831
5.966000 1.249000 -0.222000 0.991941 0.038202 -0.120801
5.967000 1.230000 -0.217000 0.991985 0.033391 -0.121865
5.530000 1.122000 -0.197000 -0.742759 0.508106 -0.436047
5.057000 1.009000 -0.176000 0.997676 0.041902 0.053720
5.056000 0.993000 -0.173000 0.997676 0.041902 0.053720
5.478000 1.058000 -0.183000 -0.742759 0.508106 -0.436047
5.973000 1.134000 -0.195000 0.989250 -0.026053 -0.143892
5.973000 1.115000 -0.191000 0.993041 -0.045137 -0.108773
5.973000 1.096000 -0.186000 0.989259 -0.063558 -0.131634
5.968000 1.076000 -0.182000 0.988661 -0.051266 -0.141141
5.967000 1.056000 -0.177000 0.988842 -0.030911 -0.145723
5.971000 1.038000 -0.173000 0.988842 -0.030911 -0.145723
5.970000 1.018000 -0.169000 0.987820 -0.023764 -0.153776
5.851000 0.979000 -0.162000 0.000000 0.000000 1.000000
4.680000 0.768000 -0.126000 0.790314 -0.396430 -0.467169
4.664000 0.750000 -0.122000 0.790314 -0.396430 -0.467169
4.674000 0.737000 -0.119000 0.790314 -0.396430 -0.467169
5.881000 0.909000 -0.147000 0.077073 -0.165795 -0.983144
5.972000 0.903000 -0.145000 0.150988 -0.102439 -0.983214
5.974000 0.884000 -0.141000 0.091320 -0.182652 -0.978927
5.973000 0.865000 -0.137000 0.279472 -0.173569 -0.944335
5.947000 0.842000 -0.133000 0.091320 -0.182652 -0.978927
5.977000 0.827000 -0.130000 0.279472 -0.173569 -0.944335
5.979000 0.808000 -0.126000 0.279472 -0.173569 -0.944335
3.299000 0.435000 -0.067000 0.718603 -0.667053 -0.196594
3.302000 0.425000 -0.065000 0.743791 -0.636684 -0.203491
3.296000 0.414000 -0.063000 0.746739 -0.632629 -0.205332
3.281000 0.401000 -0.061000 0.743438 -0.630918 -0.221906
3.276000 0.390000 -0.059000 0.750865 -0.616747 -0.236273
3.267000 0.379000 -0.057000 0.744342 -0.615795 -0.258362
3.255000 0.367000 -0.055000 0.769130 -0.539129 -0.343189
3.243000 0.355000 -0.052000 0.771351 -0.429616 -0.469518
3.236000 0.344000 -0.050000 0.775667 -0.309516 -0.550038
3.227000 0.332000 -0.049000 0.789115 -0.233834 -0.567996
3.215000 0.321000 -0.047000 0.659992 -0.224744 -0.716869
3.233000 0.312000 -0.045000 -0.532907 0.087634 0.841623
3.248000 0.303000 -0.043000 0.490961 0.025993 -0.870794
3.258000 0.294000 -0.042000 0.472265 0.130646 -0.871721
3.270000 0.284000 -0.040000 0.394118 0.109607 -0.912501
3.279000 0.275000 -0.039000 0.708302 0.704131 0.050074
3.295000 0.265000 -0.037000 0.589304 0.803649 0.082880
3.303000 0.255000 -0.035000 -0.574656 -0.814902 -0.075532
3.309000 0.245000 -0.034000 0.569856 0.819297 0.063377
3.333000 0.236000 -0.032000 -0.487165 -0.867956 -0.096556
3.370000 0.228000 -0.031000 -0.437784 -0.898929 -0.016519
3.360000 0.217000 -0.029000 -0.437704 -0.898999 -0.014694
2.971000 0.182000 -0.024000 0.090685 0.989727 -0.110525
2.688000 0.156000 -0.021000 0.615468 -0.787491 0.032501
2.677000 0.147000 -0.019000 0.669270 -0.739411 0.073137
2.670000 0.138000 -0.018000 0.755319 -0.653920 0.043368
2.660000 0.129000 -0.017000 0.799371 -0.599826 0.034859
2.649000 0.120000 -0.015000 0.743229 -0.668869 0.014994
2.645000 0.111000 -0.014000 0.762873 -0.644506 0.051363
2.637000 0.102000 -0.013000 0.776230 -0.627115 0.064765
2.630000 0.093000 -0.012000 0.769688 -0.632017 0.090192
2.622000 0.085000 -0.011000 0.785928 -0.611144 0.093920
2.616000 0.076000 -0.009000 0.796973 -0.599788 0.071327
2.610000 0.068000 -0.008000 0.744305 -0.664067 0.070882
2.601000 0.059000 -0.007000 0.896482 -0.438870 -0.060931
2.586000 0.050000 -0.006000 0.974495 -0.223569 0.019405
2.595000 0.042000 -0.005000 0.835110 0.550018 0.008487
2.604000 0.034000 -0.004000 0.715841 0.696732 0.046223
2.616000 0.026000 -0.003000 -0.665173 -0.746192 -0.027245
2.621000 0.017000 -0.002000 -0.698322 -0.715772 -0.004167
2.632000 0.009000 -0.001000 -0.705827 -0.707386 -0.037589
2.638000 0.001000 0.000000 0.511291 0.844987 0.156776
2.648000 -0.007000 0.000000 0.625598 0.776404 0.076313
2.662000 -0.016000 0.001000 0.703159 0.689059 -0.175402
2.669000 -0.024000 0.002000 -0.660530 -0.744059 0.100382
2.683000 -0.033000 0.003000 -0.614543 -0.784724 0.080908
2.702000 -0.042000 0.004000 -0.685441 -0.725668 0.059813
2.705000 -0.051000 0.005000 0.711724 0.697288 -0.085083
2.713000 -0.060000 0.006000 0.729004 0.681788 -0.060969
2.724000 -0.069000 0.007000 0.710244 0.701711 -0.056161
2.726000 -0.077000 0.008000 -0.695222 -0.716292 0.059944
2.740000 -0.087000 0.009000 -0.699290 -0.710478 0.078835
2.757000 -0.096000 0.010000 -0.674725 -0.732475 0.090700
2.761000 -0.105000 0.011000 -0.668036 -0.740548 0.072913
2.772000 -0.115000 0.012000 -0.629233 -0.775525 0.051259
2.786000 -0.124000 0.012000 0.596384 0.801521 -0.043491
2.800000 -0.134000 0.013000 0.594580 0.803351 -0.033201
2.816000 -0.144000 0.014000 -0.607736 -0.794044 -0.012340
2.828000 -0.153000 0.015000 -0.627826 -0.777960 -0.024739
2.839000 -0.163000 0.016000 -0.648509 -0.760573 -0.031054
2.848000 -0.173000 0.017000 -0.669009 -0.741859 -0.045512
2.862000 -0.183000 0.018000 -0.638334 -0.769681 -0.010999
2.870000 -0.193000 0.019000 -0.613470 -0.789717 0.001039
2.888000 -0.203000 0.019000 -0.585121 -0.810496 0.027028
2.901000 -0.214000 0.020000 -0.574178 -0.818380 0.023947
2.914000 -0.224000 0.021000 -0.530843 -0.846994 0.028408
2.974000 -0.238000 0.022000 0.374192 0.926536 -0.038869
3.175000 -0.265000 0.024000 -0.271946 -0.961187 0.046531
3.202000 -0.278000 0.025000 0.648683 0.756485 -0.083309
3.222000 -0.290000 0.026000 0.679025 0.733460 -0.030999
3.233000 -0.301000 0.027000 0.651323 0.758576 -0.018456
3.247000 -0.313000 0.028000 0.698262 0.715202 -0.030275
3.261000 -0.325000 0.029000 0.484538 0.874765 0.003047
3.278000 -0.337000 0.030000 0.517336 0.855402 -0.025521
3.293000 -0.350000 0.030000 -0.612057 -0.781092 0.123614
3.306000 -0.362000 0.031000 -0.628080 -0.771779 0.099360
3.317000 -0.374000 0.032000 0.623825 0.773888 -0.109269
3.333000 -0.387000 0.033000 0.687357 0.706795 -0.167273
3.346000 -0.399000 0.033000 0.725464 0.666293 -0.172496
3.359000 -0.411000 0.034000 0.680467 0.730260 -0.060711
3.352000 -0.422000 0.034000 0.680467 0.730260 -0.060711
0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
3.225000 -0.426000 0.034000 0.763830 -0.453662 0.459079
3.210000 -0.435000 0.034000 0.799915 -0.304518 0.517111
3.170000 -0.440000 0.034000 0.912955 -0.240189 0.329881
3.200000 -0.455000 0.035000 0.908950 0.001536 0.416901
3.201000 -0.465000 0.036000 0.930309 0.268374 0.250003
3.213000 -0.478000 0.036000 0.865899 0.465303 0.183611
3.190000 -0.485000 0.036000 0.865899 0.465303 0.183611
3.199000 -0.496000 0.037000 0.805602 0.577614 0.131782
3.232000 -0.512000 0.037000 0.763422 0.637085 0.106349
3.240000 -0.524000 0.038000 0.826551 0.560708 0.049195
3.254000 -0.537000 0.038000 0.777071 0.628641 -0.031167
6.434000 -1.084000 0.076000 -0.077983 -0.008705 -0.996917
6.425000 -1.103000 0.077000 -0.081359 -0.007703 -0.996655
6.428000 -1.125000 0.077000 -0.030482 -0.018220 -0.999369
6.416000 -1.144000 0.078000 -0.032644 -0.017286 -0.999318
6.418000 -1.166000 0.078000 -0.000130 -0.017658 -0.999844
6.420000 -1.187000 0.078000 -0.002309 -0.013352 -0.999908
6.426000 -1.209000 0.079000 -0.013197 -0.010837 -0.999854
6.421000 -1.230000 0.079000 -0.008082 -0.007434 -0.999940
6.400000 -1.247000 0.079000 -0.007925 -0.007107 -0.999943
6.419000 -1.272000 0.079000 -0.006493 -0.005411 -0.999964
6.430000 -1.295000 0.079000 0.000000 -0.000000 -1.000000
6.432000 -1.317000 0.079000 0.000000 0.000000 -1.000000
5.423000 -1.128000 0.067000 0.000000 0.000000 1.000000
5.352000 -1.131000 0.066000 0.000000 0.000000 1.000000
5.246000 -1.126000 0.064000 0.000000 0.000000 1.000000
5.184000 -1.130000 0.064000 0.023054 -0.357338 -0.933690
5.103000 -1.130000 0.062000 0.000000 0.000000 1.000000
5.003000 -1.124000 0.061000 0.000000 0.000000 1.000000
4.913000 -1.120000 0.060000 0.013547 0.025292 -0.999588
4.892000 -1.132000 0.059000 0.007387 0.025964 -0.999636
4.879000 -1.145000 0.059000 0.007387 0.025964 -0.999636
4.894000 -1.165000 0.058000 0.007387 0.025964 -0.999636
4.905000 -1.184000 0.058000 0.009722 0.025347 -0.999631
4.884000 -1.195000 0.058000 -0.013950 -0.027226 0.999532
4.884000 -1.212000 0.057000 -0.013950 -0.027226 0.999532
4.958000 -1.247000 0.057000 0.010750 0.024887 -0.999632
4.992000 -1.272000 0.057000 0.000000 0.000000 1.000000
4.808000 -1.241000 0.055000 0.003863 0.058722 -0.998267
4.218000 -1.103000 0.047000 0.000000 0.000000 1.000000
4.161000 -1.102000 0.046000 0.018920 0.081987 -0.996454
4.117000 -1.104000 0.045000 0.019171 0.076682 -0.996871
4.061000 -1.103000 0.044000 0.017538 -0.017538 -0.999692
4.006000 -1.101000 0.043000 0.039481 0.763290 -0.644848
3.954000 -1.100000 0.041000 -0.013288 -0.984343 0.175760
3.903000 -1.099000 0.040000 0.004201 0.986506 -0.163669
3.861000 -1.100000 0.039000 -0.028575 -0.982082 0.186276
3.798000 -1.095000 0.038000 0.000000 0.000000 1.000000
3.628000 -1.058000 0.035000 -0.014731 -0.989983 0.140414
3.583000 -1.057000 0.034000 -0.017325 -0.990067 0.139527
3.541000 -1.057000 0.033000 -0.016548 -0.990247 0.138338
3.498000 -1.056000 0.032000 -0.000972 -0.989016 0.147805
3.461000 -1.056000 0.030000 0.003053 -0.988324 0.152338
3.425000 -1.057000 0.029000 -0.012310 -0.987352 0.158067
3.388000 -1.057000 0.028000 0.013315 0.987005 -0.160139
3.345000 -1.055000 0.027000 0.010899 0.987145 -0.159455
3.314000 -1.056000 0.026000 0.002958 -0.985303 0.170788
3.275000 -1.055000 0.024000 0.001212 0.981371 -0.192119
3.246000 -1.056000 0.023000 0.013157 0.978093 -0.207751
3.208000 -1.055000 0.022000 0.018416 0.977401 -0.210592
3.171000 -1.053000 0.021000 0.014109 0.977647 -0.209780
3.145000 -1.055000 0.020000 -0.193362 0.958102 -0.211311
3.110000 -1.054000 0.018000 -0.325947 0.811688 -0.484687
3.078000 -1.054000 0.017000 -0.556944 0.662863 -0.500426
3.062000 -1.058000 0.016000 0.914637 -0.367889 -0.167621
3.072000 -1.073000 0.015000 0.717731 -0.382489 0.581863
3.074000 -1.084000 0.014000 0.702317 -0.322612 0.634565
3.073000 -1.094000 0.012000 0.923005 -0.219421 -0.316096
3.072000 -1.104000 0.011000 0.923005 -0.219421 -0.316096
3.073000 -1.114000 0.010000 0.983845 -0.157995 0.084182
3.068000 -1.123000 0.009000 0.988378 -0.092205 -0.120857
3.066000 -1.133000 0.007000 0.995526 -0.010680 -0.093880
3.068000 -1.144000 0.006000 0.997439 -0.017940 -0.069239
3.067000 -1.154000 0.005000 0.996455 -0.009032 -0.083637
3.066000 -1.164000 0.003000 0.997598 -0.000164 -0.069275
3.068000 -1.175000 0.002000 0.996325 0.007084 -0.085364
3.072000 -1.187000 0.000000 0.997029 0.005205 -0.076852
3.069000 -1.196000 0.000000 0.999100 0.010570 -0.041090
3.070000 -1.207000 -0.002000 0.998683 0.009871 -0.050351
3.065000 -1.215000 -0.003000 0.997642 0.007413 -0.068227
